,road,HurtCount
17,承德橋,1.6153846153846154
19,杭州南路,1.5277777777777777
9,南京西路,1.5125
22,民權西路,1.5046728971962617
0,中山橋,1.5
12,塔悠路,1.4285714285714286
18,承德路,1.4018691588785046
7,公園路,1.3773584905660377
1,中正路,1.375
24,羅斯福路,1.3657957244655583
20,民族東路,1.3626373626373627
8,南京東路,1.3564356435643565
13,寶慶路,1.3529411764705883
5,內湖路,1.3529411764705883
6,八德路,1.3404255319148937
21,民權東路,1.3333333333333333
2,中華路,1.3026315789473684
25,至善路,1.2962962962962963
10,和平東路,1.280130293159609
3,健康路,1.263157894736842
26,興隆路,1.261127596439169
14,建國北路,1.225609756097561
15,忠孝東路,1.2116402116402116
11,基隆路,1.2105263157894737
28,逸仙路,1.2058823529411764
4,光復南路,1.1818181818181819
23,立賢路,1.1666666666666667
16,愛國東路,1.16
27,西園路,1.1059602649006623
