road,count,happen,death
忠孝東路,756,2.185185185185185,1.2116402116402116
民權東路,666,2.190690690690691,1.3333333333333333
承德路,642,2.2009345794392523,1.4018691588785046
基隆路,551,2.130671506352087,1.2105263157894737
羅斯福路,421,2.3064133016627077,1.3657957244655583
興隆路,337,2.112759643916914,1.261127596439169
和平東路,307,2.1726384364820848,1.280130293159609
南京東路,303,2.273927392739274,1.3564356435643565
八德路,282,2.173758865248227,1.3404255319148937
內湖路,272,2.1580882352941178,1.3529411764705883
中華路,228,2.263157894736842,1.3026315789473684
民權西路,214,2.2429906542056073,1.5046728971962617
建國北路,164,2.1463414634146343,1.225609756097561
中正路,152,2.2828947368421053,1.375
西園路,151,2.251655629139073,1.1059602649006623
光復南路,132,2.1515151515151514,1.1818181818181819
民族東路,91,2.2527472527472527,1.3626373626373627
南京西路,80,2.3375,1.5125
至善路,54,2.240740740740741,1.2962962962962963
公園路,53,2.207547169811321,1.3773584905660377
塔悠路,42,2.380952380952381,1.4285714285714286
健康路,38,2.1578947368421053,1.263157894736842
杭州南路,36,2.25,1.5277777777777777
逸仙路,34,2.1470588235294117,1.2058823529411764
愛國東路,25,2.36,1.16
寶慶路,17,2.176470588235294,1.3529411764705883
承德橋,13,2.3076923076923075,1.6153846153846154
立賢路,12,1.8333333333333333,1.1666666666666667
中山橋,6,2.6666666666666665,1.5
