state,Day1,Day7,Day30,Category
美國,-1.2,0.1,-0.1,動作
巴西,1.3,2.9,0.8,動作
英國,-2.8,-0.4,-0.4,動作
泰國,-2,2,0.6,動作
德國,-1.8,0.9,0,動作
日本,-5.2,-3.8,-2.7,動作
法國,-2.5,-0.4,-0.2,動作
西班牙,-1.5,1.5,0.4,動作
美國,-4.6,-0.8,-0.4,街機
德國,-4.6,0.5,0,街機
英國,-5.9,-0.8,-0.4,街機
巴西,-3.7,1.4,0.3,街機
法國,-6.6,-1.5,-0.4,街機
西班牙,-7.1,-0.2,-0.1,街機
泰國,-5.3,1,0.2,街機
日本,-1.4,0.1,-0.3,街機
美國,-1.9,-0.4,-0.3,休閒
英國,-4.5,-1.9,-1.2,休閒
巴西,0,1.6,0.6,休閒
德國,-4.9,-1.8,-1.3,休閒
法國,-4.8,-2.6,-1.4,休閒
日本,-4.4,-3.1,-2,休閒
西班牙,-3.5,-0.8,-0.7,休閒
泰國,-2.6,0.1,-0.3,休閒
美國,-2.5,-0.5,-0.5,益智
英國,-1.3,0.6,0,益智
德國,-1.4,1,0.3,益智
日本,-2.4,-1.6,-1.5,益智
法國,-1.7,-0.1,-0.1,益智
巴西,3.3,5.5,3.1,益智
西班牙,-0.3,3.4,2,益智
泰國,-0.4,3.8,2.6,益智
美國,1.5,2,0.6,角色扮演
日本,-2.1,-2.7,-2.1,角色扮演
泰國,0.2,2.3,1.2,角色扮演
巴西,4,4.4,1.8,角色扮演
德國,0.5,0.4,-0.3,角色扮演
法國,0,-1,-1,角色扮演
英國,0.1,1.1,0.2,角色扮演
西班牙,0.3,0.5,0.5,角色扮演
美國,0,0.4,0.4,模擬
德國,-0.5,-1,-0.6,模擬
英國,-0.7,-0.1,-0.1,模擬
法國,0.7,-0.1,-0.1,模擬
巴西,1.4,2.3,0.9,模擬
日本,-2.4,-3.6,-2.4,模擬
西班牙,-0.5,0.5,0.2,模擬
泰國,-0.5,3.2,1.5,模擬
美國,-2.6,-1.4,-0.7,博弈
英國,5.4,2.4,1,博弈
法國,0.8,0.1,0,博弈
德國,0.1,0.2,0.1,博弈
泰國,1.6,5.3,2.9,博弈
西班牙,4.9,2.3,0.8,博弈
巴西,11.9,7,2.8,博弈
日本,6.2,2.8,0.6,博弈
美國,1.8,2.1,1.2,策略
德國,0.5,0.9,0.5,策略
法國,1.2,1.2,0.8,策略
英國,1.4,1.3,0.7,策略
巴西,7.7,6,2.9,策略
泰國,4.3,4.5,2.3,策略
日本,-4.7,-3.7,-2.4,策略
西班牙,1,1.8,1,策略
