road,time,count
興隆路,102,292
南京東路,102,291
基隆路,102,394
八德路,102,325
和平東路,102,224
羅斯福路,102,400
內湖路,102,262
建國北路,102,118
民權東路,102,538
中華路,102,195
承德路,102,667
忠孝東路,102,676
中正路,102,155
民族東路,102,106
至善路,102,64
杭州南路,102,55
塔悠路,102,38
民權西路,102,212
西園路,102,94
光復南路,102,117
健康路,102,43
南京西路,102,69
承德橋,102,6
逸仙路,102,28
公園路,102,53
寶慶路,102,23
愛國東路,102,27
中山橋,102,4
立賢路,102,3
八德路,103,115
民權東路,103,189
基隆路,103,287
光復南路,103,64
逸仙路,103,20
中正路,103,105
民權西路,103,110
中華路,103,150
忠孝東路,103,113
和平東路,103,95
南京東路,103,113
興隆路,103,93
承德路,103,348
羅斯福路,103,97
至善路,103,33
公園路,103,47
南京西路,103,35
西園路,103,36
民族東路,103,45
愛國東路,103,17
內湖路,103,30
建國北路,103,68
寶慶路,103,29
塔悠路,103,38
立賢路,103,3
杭州南路,103,23
健康路,103,19
塔悠路,104,30
承德路,104,333
基隆路,104,267
內湖路,104,37
南京東路,104,97
中華路,104,115
興隆路,104,69
羅斯福路,104,79
建國北路,104,71
中正路,104,71
民權東路,104,165
忠孝東路,104,84
民族東路,104,67
民權西路,104,103
光復南路,104,41
逸仙路,104,15
南京西路,104,34
八德路,104,122
公園路,104,43
和平東路,104,72
杭州南路,104,14
至善路,104,33
寶慶路,104,16
健康路,104,17
愛國東路,104,14
西園路,104,56
立賢路,104,2
和平東路,105,302
忠孝東路,105,596
民權東路,105,546
承德路,105,634
羅斯福路,105,391
內湖路,105,278
公園路,105,47
興隆路,105,314
八德路,105,260
至善路,105,37
中正路,105,116
建國北路,105,123
基隆路,105,429
南京東路,105,280
中華路,105,226
西園路,105,110
光復南路,105,82
南京西路,105,40
杭州南路,105,28
愛國東路,105,16
民族東路,105,82
健康路,105,28
塔悠路,105,36
立賢路,105,3
民權西路,105,129
寶慶路,105,4
承德橋,105,8
逸仙路,105,13
中山橋,105,5
忠孝東路,106,736
內湖路,106,243
西園路,106,106
興隆路,106,340
塔悠路,106,36
八德路,106,281
承德路,106,643
和平東路,106,325
中華路,106,249
南京西路,106,55
光復南路,106,123
民權西路,106,140
基隆路,106,513
羅斯福路,106,393
南京東路,106,296
至善路,106,52
民權東路,106,561
杭州南路,106,41
中正路,106,113
民族東路,106,90
公園路,106,55
建國北路,106,144
承德橋,106,9
逸仙路,106,23
健康路,106,22
愛國東路,106,20
寶慶路,106,12
立賢路,106,4
中山橋,106,7
忠孝東路,107,736
南京東路,107,325
民族東路,107,109
民權東路,107,564
羅斯福路,107,359
基隆路,107,491
民權西路,107,158
中山橋,107,8
內湖路,107,280
中正路,107,146
和平東路,107,302
承德路,107,672
西園路,107,129
中華路,107,231
興隆路,107,250
至善路,107,72
光復南路,107,144
公園路,107,37
八德路,107,266
健康路,107,25
塔悠路,107,49
南京西路,107,62
愛國東路,107,27
建國北路,107,152
寶慶路,107,14
逸仙路,107,18
立賢路,107,10
杭州南路,107,34
承德橋,107,10
民權東路,108,666
和平東路,108,307
民權西路,108,214
興隆路,108,337
西園路,108,151
基隆路,108,551
中華路,108,228
忠孝東路,108,756
內湖路,108,272
羅斯福路,108,421
民族東路,108,91
八德路,108,282
承德路,108,642
南京東路,108,303
塔悠路,108,42
中正路,108,152
南京西路,108,80
建國北路,108,164
健康路,108,38
公園路,108,53
承德橋,108,13
逸仙路,108,34
杭州南路,108,36
光復南路,108,132
至善路,108,54
寶慶路,108,17
愛國東路,108,25
立賢路,108,12
中山橋,108,6
民權東路,109,311
和平東路,109,156
承德路,109,338
基隆路,109,269
興隆路,109,170
羅斯福路,109,190
民族東路,109,51
逸仙路,109,17
寶慶路,109,3
中華路,109,113
建國北路,109,55
忠孝東路,109,371
愛國東路,109,15
民權西路,109,89
八德路,109,120
塔悠路,109,28
至善路,109,31
中正路,109,58
南京西路,109,36
健康路,109,18
光復南路,109,81
南京東路,109,173
西園路,109,82
內湖路,109,111
公園路,109,15
杭州南路,109,15
中山橋,109,7
承德橋,109,9
立賢路,109,1
