name,B,max
原文第1段,三立2,0.109375
原文第2段,三立2,0.1953125
原文第3段,三立2,0.1875
原文第4段,三立2,0.1484375
原文第5段,三立2,0.1484375
原文第6段,三立2,0.0859375
原文第7段,三立2,0.0390625
原文第8段,三立2,0.1875
原文第9段,三立2,0.1484375
原文第10段,三立2,0.078125
原文第11段,三立2,0.1171875
原文第12段,三立2,0.1640625
原文第13段,三立2,0.1640625
原文第14段,三立2,0.1484375
原文第15段,三立2,0.1171875
原文第16段,三立2,0.1328125
原文第17段,三立2,0.1171875
原文第1段,今日,0.0859375
原文第2段,今日,0.2578125
原文第3段,今日,0.25
原文第4段,今日,0.125
原文第5段,今日,0.1640625
原文第6段,今日,0.1484375
原文第7段,今日,0.046875
原文第8段,今日,0.1484375
原文第9段,今日,0.1953125
原文第10段,今日,0.0625
原文第11段,今日,0.140625
原文第12段,今日,0.1875
原文第13段,今日,0.1015625
原文第14段,今日,0.15625
原文第15段,今日,0.15625
原文第16段,今日,0.15625
原文第17段,今日,0.15625
原文第1段,lovenews,0.1015625
原文第2段,lovenews,0.3359375
原文第3段,lovenews,0.328125
原文第4段,lovenews,0.2265625
原文第5段,lovenews,0.1953125
原文第6段,lovenews,0.15625
原文第7段,lovenews,0.09375
原文第8段,lovenews,0.2265625
原文第9段,lovenews,0.15625
原文第10段,lovenews,0.1328125
原文第11段,lovenews,0.2265625
原文第12段,lovenews,0.2421875
原文第13段,lovenews,0.1015625
原文第14段,lovenews,0.09375
原文第15段,lovenews,0.140625
原文第16段,lovenews,0.1328125
原文第17段,lovenews,0.125
原文第1段,lookernews,0.1328125
原文第2段,lookernews,0.2109375
原文第3段,lookernews,0.2109375
原文第4段,lookernews,0.1875
原文第5段,lookernews,0.2109375
原文第6段,lookernews,0.1171875
原文第7段,lookernews,0.0703125
原文第8段,lookernews,0.171875
原文第9段,lookernews,0.2109375
原文第10段,lookernews,0.1015625
原文第11段,lookernews,0.265625
原文第12段,lookernews,0.3359375
原文第13段,lookernews,0.109375
原文第14段,lookernews,0.109375
原文第15段,lookernews,0.1171875
原文第16段,lookernews,0.171875
原文第17段,lookernews,0.109375
原文第1段,CTWANT,0.140625
原文第2段,CTWANT,0.140625
原文第3段,CTWANT,0.140625
原文第4段,CTWANT,0.2421875
原文第5段,CTWANT,0.2109375
原文第6段,CTWANT,0.2890625
原文第7段,CTWANT,0.0625
原文第8段,CTWANT,0.109375
原文第9段,CTWANT,0.15625
原文第10段,CTWANT,0.0703125
原文第11段,CTWANT,0.1015625
原文第12段,CTWANT,0.1171875
原文第13段,CTWANT,0.0859375
原文第14段,CTWANT,0.109375
原文第15段,CTWANT,0.09375
原文第16段,CTWANT,0.09375
原文第17段,CTWANT,0.0859375
原文第1段,udn,0.09375
原文第2段,udn,0.1796875
原文第3段,udn,0.1796875
原文第4段,udn,0.109375
原文第5段,udn,0.1171875
原文第6段,udn,0.078125
原文第7段,udn,0.046875
原文第8段,udn,0.21875
原文第9段,udn,0.0703125
原文第10段,udn,0.078125
原文第11段,udn,0.0625
原文第12段,udn,0.0859375
原文第13段,udn,0.0859375
原文第14段,udn,0.125
原文第15段,udn,0.15625
原文第16段,udn,0.125
原文第17段,udn,0.125
原文第1段,TVBS1,0.171875
原文第2段,TVBS1,0.203125
原文第3段,TVBS1,0.1953125
原文第4段,TVBS1,0.15625
原文第5段,TVBS1,0.203125
原文第6段,TVBS1,0.125
原文第7段,TVBS1,0.0625
原文第8段,TVBS1,0.1171875
原文第9段,TVBS1,0.1640625
原文第10段,TVBS1,0.0546875
原文第11段,TVBS1,0.078125
原文第12段,TVBS1,0.1875
原文第13段,TVBS1,0.0859375
原文第14段,TVBS1,0.09375
原文第15段,TVBS1,0.09375
原文第16段,TVBS1,0.09375
原文第17段,TVBS1,0.0703125
原文第1段,網路溫度計,0.140625
原文第2段,網路溫度計,0.1953125
原文第3段,網路溫度計,0.1875
原文第4段,網路溫度計,0.1484375
原文第5段,網路溫度計,0.2421875
原文第6段,網路溫度計,0.1484375
原文第7段,網路溫度計,0.1015625
原文第8段,網路溫度計,0.265625
原文第9段,網路溫度計,0.140625
原文第10段,網路溫度計,0.109375
原文第11段,網路溫度計,0.0859375
原文第12段,網路溫度計,0.2109375
原文第13段,網路溫度計,0.1015625
原文第14段,網路溫度計,0.1015625
原文第15段,網路溫度計,0.109375
原文第16段,網路溫度計,0.140625
原文第17段,網路溫度計,0.125
原文第1段,Fun一下,0.1015625
原文第2段,Fun一下,0.3359375
原文第3段,Fun一下,0.328125
原文第4段,Fun一下,0.2265625
原文第5段,Fun一下,0.203125
原文第6段,Fun一下,0.15625
原文第7段,Fun一下,0.09375
原文第8段,Fun一下,0.2265625
原文第9段,Fun一下,0.15625
原文第10段,Fun一下,0.140625
原文第11段,Fun一下,0.2265625
原文第12段,Fun一下,0.2421875
原文第13段,Fun一下,0.1015625
原文第14段,Fun一下,0.09375
原文第15段,Fun一下,0.140625
原文第16段,Fun一下,0.1328125
原文第17段,Fun一下,0.125
原文第1段,三立1,0.1171875
原文第2段,三立1,0.1953125
原文第3段,三立1,0.1953125
原文第4段,三立1,0.1328125
原文第5段,三立1,0.1640625
原文第6段,三立1,0.0859375
原文第7段,三立1,0.0546875
原文第8段,三立1,0.1171875
原文第9段,三立1,0.1796875
原文第10段,三立1,0.0703125
原文第11段,三立1,0.09375
原文第12段,三立1,0.1328125
原文第13段,三立1,0.1328125
原文第14段,三立1,0.140625
原文第15段,三立1,0.15625
原文第16段,三立1,0.1328125
原文第17段,三立1,0.171875
原文第1段,達人秀,0.0859375
原文第2段,達人秀,0.1484375
原文第3段,達人秀,0.140625
原文第4段,達人秀,0.15625
原文第5段,達人秀,0.203125
原文第6段,達人秀,0.1484375
原文第7段,達人秀,0.0390625
原文第8段,達人秀,0.1015625
原文第9段,達人秀,0.21875
原文第10段,達人秀,0.078125
原文第11段,達人秀,0.0859375
原文第12段,達人秀,0.1328125
原文第13段,達人秀,0.171875
原文第14段,達人秀,0.09375
原文第15段,達人秀,0.109375
原文第16段,達人秀,0.109375
原文第17段,達人秀,0.1015625
