week,hour,vol
星期二,12,64.1040111940299
星期二,11,67.3370646766169
星期二,10,67.816697761194
星期二,9,75.8667599502488
星期二,8,86.9846082089552
星期二,7,72.0693407960199
星期二,6,28.0096393034826
星期二,5,14.1763059701493
星期二,4,9.99657960199005
星期二,3,10.0018656716418
星期二,2,11.4259950248756
星期二,1,13.8473258706468
星期二,0,18.9371890547264
星期一,23,26.7817164179104
星期一,22,42.0174129353234
星期一,21,52.6845460199005
星期一,20,55.1492537313433
星期一,19,70.2327770771144
星期一,18,78.0856654228856
星期一,17,76.921486318408
星期一,16,69.7375621890547
星期一,15,68.3661380597015
星期一,14,66.0010883084577
星期一,13,62.7734763681592
星期一,12,63.0614116915423
星期一,11,64.521921641791
星期一,10,66.6263992537313
星期一,9,74.5682524875622
星期一,8,84.0378835074627
星期一,7,72.1371268656716
星期一,6,25.9474502487562
星期一,5,11.634328358209
星期一,4,8.10074626865672
星期一,3,8.1747512437811
星期一,2,9.27300995024876
星期一,1,11.9685945273632
星期一,0,18.0830223880597
星期日,23,26.1564054726368
星期日,22,41.3855721393035
星期日,21,54.5976368159204
星期日,20,55.4151119402985
星期日,19,54.4348569651741
星期日,18,60.4238184079602
星期日,17,66.9549129353234
星期日,16,61.3254042288557
星期日,15,53.0626554726368
星期日,14,52.3379975124378
星期日,13,57.0072726741294
星期日,12,60.580223880597
星期日,11,59.2961753731343
星期日,10,52.8212928358209
星期日,9,47.4769900497512
星期日,7,29.9858519900498
星期日,6,21.9026741293532
星期日,5,16.1828358208955
星期日,4,13.6178482587065
星期日,3,14.2773631840796
星期日,2,16.5497512437811
星期日,1,19.1862562189055
星期日,0,25.9323694029851
星期六,23,34.6548507462687
星期六,22,53.0855099502488
星期六,21,60.3148320895522
星期六,20,55.5380907960199
星期六,19,56.7203047263682
星期六,18,68.9081156716418
星期六,17,73.9555348258706
星期六,16,69.6565609452736
星期六,15,67.8516791044776
星期六,14,69.1299751243781
星期六,13,67.8592972636816
星期六,12,70.0617226368159
星期六,11,66.3409514925373
星期六,10,63.988184079602
星期六,9,59.2842039800995
星期六,8,50.3271144278607
星期六,7,38.8252487562189
星期六,6,24.6825248756219
星期六,5,16.6567164179104
星期六,4,14.1542288557214
星期六,3,14.0018656716418
星期六,2,15.7332089552239
星期六,1,18.5003109452736
星期六,0,24.980565920398
星期五,23,34.5110385572139
星期五,22,53.9656405472637
星期五,21,61.6057213930348
星期五,20,60.9092039800995
星期五,19,74.1277985074627
星期五,18,80.8059701492537
星期五,17,83.0883084577114
星期五,16,74.59375
星期五,15,72.3207400497512
星期五,14,71.9609763681592
星期五,13,67.6843905472637
星期五,12,67.6630907960199
星期五,11,69.8009950248756
星期五,10,68.8566542288557
星期五,9,76.2589137686567
星期五,8,84.1766514552239
星期五,7,67.8779539800995
星期五,6,26.1787935323383
星期五,5,13.8964552238806
星期五,4,9.5547263681592
星期五,3,9.91759950248756
星期五,2,10.6054104477612
星期五,1,12.964552238806
星期五,0,18.199315920398
星期四,23,27.4294154228856
星期四,22,44.7994402985075
星期四,21,56.2201492537313
星期四,20,58.0726575373134
星期四,19,70.3664490049751
星期四,18,82.8075421517413
星期四,17,79.6522077114428
星期四,16,68.4037624378109
星期四,15,71.1435012437811
星期四,14,70.7615049751244
星期四,13,67.4213308457711
星期四,12,67.0169465174129
星期四,11,68.4804104477612
星期四,10,69.7955534825871
星期四,9,76.3671399751244
星期四,8,85.7380286069652
星期四,7,70.6526568532338
星期四,6,27.6899875621891
星期四,5,13.4287935323383
星期四,4,8.8544776119403
星期四,3,8.91293532338308
星期四,2,10.3097014925373
星期四,1,13.2220149253731
星期四,0,19.1394589552239
星期三,23,28.5205223880597
星期三,22,44.4371890547264
星期三,21,56.8157649253731
星期三,20,58.3872823383085
星期三,19,70.6203358208955
星期三,18,82.0918843283582
星期三,17,81.1473880597015
星期三,16,72.2283893034826
星期三,15,71.9376554726368
星期三,14,71.5
星期三,13,67.2291666666667
星期三,12,67.2203047263682
星期三,11,70.4696828358209
星期三,10,69.4558457711443
星期三,9,77.3510226741294
星期三,8,85.5066853233831
星期三,7,69.1592039800995
星期三,6,27.1492537313433
星期三,5,13.1265547263682
星期三,4,8.2089552238806
星期三,3,8.63681592039801
星期三,2,10.1023009950249
星期三,1,12.7314987562189
星期三,0,17.4499378109453
星期二,23,26.3342661691542
星期二,22,41.5071517412935
星期二,21,54.2845149253731
星期二,20,56.4819651741293
星期二,19,69.2997512437811
星期二,18,80.7849813432836
星期二,17,77.1158271144279
星期二,16,71.9724813432836
星期二,15,70.291355721393
星期二,14,71.9317475124378
星期二,13,67.5272077114428
星期日,8,35
