,road,HurtCount108,HurtCount102
0,杭州南路2段,1.631578947368421,1.0
1,塔悠路,1.510204081632653,1.288888888888889
2,至善路2段,1.3928571428571428,1.5
3,南京東西路,1.3851674641148326,1.2857142857142858
4,民族東路,1.3804347826086956,1.2857142857142858
5,公園路,1.3773584905660377,1.3018867924528301
6,八德路3、4段,1.372340425531915,1.391705069124424
7,寶慶路,1.3529411764705883,1.4782608695652173
8,福林路,1.3404255319148937,1.375
9,內湖路1段,1.3258426966292134,1.3121019108280254
10,中坡北路,1.3225806451612903,1.3055555555555556
11,中華路1段,1.305084745762712,1.35
12,羅斯福路1、2段,1.3,1.4
13,松江路,1.2962962962962963,1.3046875
14,新生南路3段,1.2926829268292683,1.75
15,和平東路1、2、3段,1.2861736334405145,1.348993288590604
16,福國路,1.2622950819672132,1.2903225806451613
17,健康路,1.2424242424242424,1.2777777777777777
18,光復南北路,1.2422680412371134,1.3413461538461537
19,建國北路3段,1.2115384615384615,1.1363636363636365
20,立賢路,1.2105263157894737,1.125
21,忠孝東路6段,1.1931818181818181,1.3928571428571428
22,基隆路1、3段,1.186046511627907,1.3161764705882353
23,愛國東路,1.1612903225806452,1.3783783783783783
